Date,Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),AWND,PCRP,SNOW,AVGT
1/2/2016,STL,-2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAX,6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAX,-5,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAX,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DTW,5,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,AUS,-5,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAX,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,AUS,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DEN,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,-2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,-2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,ATL,7,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DCA,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,10,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,25,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,-2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,13,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SNA,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,28,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DCA,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,-8,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,133,106,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SFO,9,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,FLL,-1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SAN,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHX,11,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAS,19,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHL,-2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,TPA,37,7,0,0,0,10,5.4,0,0,-2.8
1/2/2016,DEN,61,45,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PBI,-7,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SLC,-5,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DEN,-2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,AUS,-5,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SLC,29,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SJC,4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,RSW,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAS,40,6,0,0,0,12,5.4,0,0,-2.8
1/2/2016,RDU,-2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SEA,2,0,0,0,0,0,5.4,0,0,-2.8
1/3/2016,SEA,17,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,SJC,22,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,TPA,4,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,PDX,-4,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,DFW,1,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,LAS,9,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,LAX,9,0,0,0,0,0,5.2,0,0,-2.9
